t,meanDeltaSlopeD0_0005,stdDeltaSlopeD0_0005,meanDeltaSlopeD0_0005D0_0025,stdDeltaSlopeD0_0005D0_0025,meanDeltaSlopeD0_0005D0_005,stdDeltaSlopeD0_0005D0_005,meanDeltaSlopeD0_0005D0_01,stdDeltaSlopeD0_0005D0_01
0,0,0,0,0,0,0,0,0
10,-0.286315789473689,0.306631909617096,-0.615338345864663,0.594715581241541,-1.17834586466166,0.746680503493902,-1.75879699248121,0.88747662006592
30,-0.210526315789477,0.316334811777809,-0.674285714285713,0.607789711053282,-1.45082706766917,0.676547204468112,-2.37473684210527,1.32752059880738
50,-0.29954887218045,0.342027165248171,-1.02075187969925,0.680931598093671,-2.20451127819549,0.882320566660362,-3.30766917293233,1.89602205420386
70,-0.387969924812037,0.317162943867553,-1.20300751879699,0.665392341156553,-2.803007518797,0.660656953439591,-4.26887218045113,1.43320127391302
90,-0.390375939849627,0.367748486746148,-1.55609022556392,1.03125125406,-3.32390977443609,1.01976600946163,-5.02796992481204,2.03051540138739
110,-0.54195488721805,0.319728152568162,-1.95127819548872,1.09301764444037,-4.01142857142857,0.996975016574377,-5.97172932330827,2.35535607457795
130,-0.560601503759399,0.331037223445136,-2.18285714285715,1.32051790565241,-4.61172932330827,1.37370737991333,-6.7584962406015,2.73812222304511
150,-0.748872180451132,0.45121469506025,-2.57744360902255,1.24785656139904,-5.4821052631579,1.1160419181782,-7.89233082706767,2.6653132412586
170,-0.890225563909779,0.511612255109781,-2.97984962406015,1.37893328370094,-5.7966917293233,1.51233258729234,-8.59428571428572,3.27804992280646
190,-1.05804511278196,0.389658594335245,-3.36781954887218,1.53286964913777,-6.7175939849624,1.79079117201797,-9.63669172932331,3.68026639681189
210,-1.04300751879699,0.418795237641608,-3.75879699248121,1.75367306675665,-7.23007518796992,1.63768166739168,-10.4390977443609,3.62466146559007
230,-1.14887218045113,0.568950348750743,-3.90375939849624,1.85679965982535,-7.55428571428571,1.67633544959517,-11.0784962406015,3.84893561095506
250,-1.33233082706767,0.614340878284769,-4.06015037593984,1.76352449817452,-8.02827067669173,1.91698502609014,-11.5801503759399,3.84758070247753
270,-1.21864661654136,0.730777972091867,-4.1593984962406,2.03863389691534,-8.16601503759398,2.29132881205459,-11.5771428571429,4.01208473420273
290,-1.21503759398496,0.82511564281694,-4.3639097744361,1.90116478706231,-8.38436090225564,2.61575144358183,-11.9404511278196,4.05370838305203
310,-1.25293233082707,0.938324657558697,-4.49984962406015,1.92055178073066,-8.53654135338346,2.71207692279702,-12.1624060150376,3.86042969680655
330,-1.27398496240602,0.840321777696522,-4.80661654135338,1.89159825448804,-9.39067669172932,2.50913648111608,-13.1398496240602,3.28006354231176
350,-1.46947368421053,0.831676926159945,-5.26796992481203,1.85221230161019,-9.91879699248121,2.44775326234414,-13.769022556391,3.19978950444923
370,-1.53142857142857,0.86268771815598,-5.32992481203007,1.90626496559556,-10.2213533834587,2.2488270068841,-14.1618045112782,3.29357739585501
390,-1.46225563909775,0.843137927515001,-5.49112781954887,2.18705320318393,-10.3705263157895,2.32661372493456,-13.935037593985,3.42457907058181
410,-1.5615037593985,0.876652379066187,-5.85563909774436,2.06530159886627,-10.7687218045113,2.16590554143168,-14.5203007518797,3.23287613724888
430,-1.50917293233084,0.928065051894596,-6.03007518796993,2.30243237506359,-11.1085714285714,2.17803764680609,-14.812030075188,3.49471929963949
450,-1.65894736842106,1.03995730515138,-6.08601503759398,2.36528227388919,-11.3648120300752,2.17381679611431,-15.1825563909774,3.40984606424477
470,-1.55308270676692,1.08658286960685,-6.03729323308271,2.19579000233079,-11.350977443609,1.892673313738,-14.8360902255639,3.24846837455516
490,-1.72090225563911,0.901780771722124,-6.45413533834586,2.14105110836221,-11.8995488721805,2.04164047454186,-15.5266165413534,2.80591464190506
510,-1.44842105263158,1.0208479511568,-6.32661654135339,2.06915117239049,-11.5795488721805,2.15833699356073,-14.8571428571429,3.05368871901192
530,-1.75037593984962,0.989903744148649,-6.72601503759398,2.17467397024042,-12.2869172932331,2.20750522988144,-15.6270676691729,3.02629128712508
550,-1.73233082706766,1.05667394242697,-6.83669172932331,2.29761523866619,-12.5353383458647,2.16428449169906,-15.6216541353383,3.12589420853031
570,-1.72571428571429,0.912465540777859,-6.78195488721805,2.25908464216281,-12.3482706766917,2.3997436227576,-15.2842105263158,3.49073545436333
590,-1.80451127819549,0.935393680854516,-6.78977443609023,2.31278660456483,-12.6706766917293,2.36495668973997,-15.5596992481203,3.37199213972738
610,-1.98075187969925,1.09921527435851,-7.06406015037594,2.45712825511102,-12.8589473684211,2.56008900543135,-15.5963909774436,4.17913054395786
630,-2.02947368421053,1.13952537252806,-7.32390977443609,2.47177339844655,-13.3581954887218,2.20031613564724,-16.0306766917293,3.91025093169921
650,-2.13714285714286,1.15438254776689,-7.57593984962407,2.65204008734702,-13.7455639097744,2.19866386715573,-16.649022556391,3.94150221387886
670,-2.15398496240602,1.27239317954959,-7.7209022556391,2.99408085605783,-13.8784962406015,2.50283241537144,-16.7007518796993,4.24132831776598
690,-2.26165413533834,1.29159539599991,-7.93383458646617,3.04387977966271,-14.0084210526316,2.2700593029449,-16.8264661654135,3.88729086995025
710,-2.32902255639098,1.40742111350513,-8.18526315789473,3.0243536180592,-14.3699248120301,2.18615702596934,-16.9912781954887,4.02846766527953
730,-2.48902255639098,1.43551280233653,-8.51428571428572,3.07018194465067,-14.8403007518797,2.13419019104653,-17.7166917293233,3.81049263501707
750,-2.54676691729323,1.43304460821721,-8.52812030075188,3.30260050272357,-14.972030075188,2.22626726901855,-17.6306766917293,4.07169664277611
770,-2.70135338345864,1.37301480910429,-8.8824060150376,3.1689044502561,-15.5627067669173,2.32668387521044,-18.3193984962406,4.02398192715367
790,-2.7187969924812,1.32287377996528,-9.04360902255639,3.36509711878467,-15.584962406015,2.31942775315457,-18.1461654135338,4.07361687663095
810,-2.85233082706767,1.46039475295796,-9.22646616541353,3.40423785104855,-15.8213533834586,2.27969492772861,-18.1515789473684,4.2199536899913
830,-2.93533834586467,1.34895478875932,-9.2793984962406,3.63850398022669,-15.824962406015,2.04302502900731,-18.1846616541353,3.86380408456249
850,-2.88902255639098,1.49857230691474,-9.32932330827067,3.50069905537376,-15.9518796992481,2.35223777098863,-18.4703759398496,4.20821901216553
870,-3.03699248120301,1.59205684050093,-9.77383458646617,3.7658164898985,-16.4312781954887,2.35284619702428,-19.027969924812,4.6157593758081
890,-3.00691729323309,1.66057517599738,-9.58496240601504,3.91226114609002,-16.3392481203007,1.96391606887576,-18.8445112781955,4.77695946053054
910,-3.01654135338346,1.62528311885177,-9.50315789473684,3.82593846518928,-16.3795488721805,2.00855316454098,-18.5209022556391,4.57845605912105
930,-3.08571428571429,1.62331243036812,-9.95067669172932,3.81715636920571,-16.5281203007519,1.9621684079483,-18.621954887218,4.41218799955859
950,-3.09052631578948,1.61253573784653,-9.82075187969925,3.80859405617669,-16.3657142857143,2.22022308429338,-18.3855639097744,4.61729895084206
970,-3.14406015037594,1.62094828573175,-9.81293233082707,3.6606754253066,-16.4366917293233,1.89381940632395,-18.4048120300752,4.32809883434427
990,-3.41834586466166,1.73471026134946,-10.3073684210526,3.7687038186638,-16.8523308270677,2.05162666010107,-18.701954887218,4.38158118483625
